UI_20150317_000001	{@st41b}可以跟各職業大師{nl}學習特性。{/}
UI_20150317_000002	{@st43}特性目錄{/}
UI_20150317_000003	{@st59}關閉特性清單。{/}
UI_20150317_000004	{@st43}學習特性{/}
UI_20150317_000005	{@st59}關閉特性視窗。{/}
UI_20150317_000006	{@st41b}所持銀幣{/}
UI_20150317_000007	我的成就
UI_20150317_000008	伺服器排名
UI_20150317_000009	{@st59}有突發活動。{/}
UI_20150317_000010	{@st59}有小幫手喔！{/}
UI_20150317_000011	{@st41}您要製作什麼種類的箭矢？{/}
UI_20150317_000012	{@st41b}僅一次{/}
UI_20150317_000013	{@st41b}全部{/}
UI_20150317_000014	{@st41b}中斷{/}
UI_20150317_000015	{@st43}冒險日誌{/}
UI_20150317_000016	{@st43}拍賣場{/}
UI_20150317_000017	{@st59}關閉拍賣場。{/}
UI_20150317_000018	{memo X}{@st41b}得標道具：%s個,  流標道具：%s個{/}
UI_20150317_000019	{@st43}{s22}拍賣道具{/}
UI_20150317_000020	{@st59}關閉任務情報。{/}
UI_20150317_000021	아베일레스트
UI_20150317_000022	{@st41b}剩餘時間
UI_20150317_000023	3小時 16分
UI_20150317_000024	{@st41b}起標價格
UI_20150317_000025	{@st41b}投標數量
UI_20150317_000026	{@st41b}目前價格
UI_20150317_000027	{@st41b}投標金額
UI_20150317_000028	{@st41b}最低可投標金額為{@st57}%s {@st41b}銀幣{/}
UI_20150317_000029	{@st41b}投標{/}
UI_20150317_000030	{@st43b}立即購買！{nl}{img icon_item_silver 20 20}{@st57}%s{/}
UI_20150317_000031	{@st44}設定權限{/}
UI_20150317_000032	{@st45}名稱：%s{/}
UI_20150317_000033	{@st45}組隊倉庫{/}
UI_20150317_000034	{@st49}無
UI_20150317_000035	{@st49}放入
UI_20150317_000036	{@st49}取出
UI_20150317_000037	{@st45}問卷{/}
UI_20150317_000038	{@st49}撰寫
UI_20150317_000039	{@st49}刪除
UI_20150317_000040	{@st44}儲存{/}
UI_20150317_000041	{@st44}取消{/}
UI_20150317_000042	{@st43}{s22}造型屋{/}
UI_20150317_000043	{@st59}上一個髮型{/}
UI_20150317_000044	{@st59}下一個髮型{/}
UI_20150317_000045	{@st41b}變更{s18}(需要TP 100){/}
UI_20150317_000046	{@st59}變更為您選擇的髮型。{/}
UI_20150317_000047	{@st41}解約
UI_20150317_000048	{@st43}黑市{/}
UI_20150317_000049	書名
UI_20150317_000050	{@st59}停止閱讀。{/}
UI_20150317_000051	{@st59}上一頁{/}
UI_20150317_000052	{@st59}下一頁{/}
UI_20150317_000053	{@st47}%s 登場！！
UI_20150317_000054	{@st43}分數{/}
UI_20150317_000055	所受傷害
UI_20150317_000056	技術紅利
UI_20150317_000057	迴避紅利
UI_20150317_000058	清除時間
UI_20150317_000059	總分
UI_20150317_000060	{@st42}經過時間
UI_20150317_000061	10分
UI_20150317_000062	10秒
UI_20150317_000063	{memo X}{@st44}結束
UI_20150317_000064	{@st59}關閉自動販賣機。{/}
UI_20150317_000065	{@st43}BUFF自動販賣機
UI_20150317_000066	自動販賣機名稱
UI_20150317_000067	{memo X}{@st43}登錄
UI_20150317_000068	{memo X}{@st43}取消
UI_20150317_000069	BUFF自動販賣機
UI_20150317_000070	{@st59}關閉BUFF自動販賣機。
UI_20150317_000071	{@st59}BUFF自動販賣機{nl} - 支付銀幣該玩家即可獲得BUFF技術。
UI_20150317_000072	馬車選單
UI_20150317_000073	{ol}{s22}下來{/}
UI_20150317_000074	挑選
UI_20150317_000075	{@st43}遊戲設定{/}
UI_20150317_000076	{@st64}請輸入方向鍵並選擇儲存格！
UI_20150317_000077	{@st43}轉職情報{/}
UI_20150317_000078	{@st43}選擇職業
UI_20150317_000079	意志力
UI_20150317_000080	{@st42}%s 階{/}
UI_20150317_000081	幾階
UI_20150317_000082	此處會顯示職業簡單的說明。
UI_20150317_000083	{@st41b}攻擊力 {@sti7}%s{/}
UI_20150317_000084	{@st41b}輔助    {@sti7}%s{/}
UI_20150317_000085	{@st41b}難易度 {@sti7}%s{/}
UI_20150317_000086	{@st59}關閉職業資訊視窗。{/}
UI_20150317_000087	可轉職通知
UI_20150317_000088	{@st43}轉職
UI_20150317_000089	{@sti7}{s14}角色{/}
UI_20150317_000090	{@sti8}{s14}職業{/}
UI_20150317_000091	{@st44}聊天{/}
UI_20150317_000092	To. WWWWWWWW 之外 1
UI_20150317_000093	一般：/s 內容{nl}大喊：/y 內容{nl}組隊：/p 內容{nl}密語：/w 角色名稱 內容
UI_20150317_000094	{@st41}一般對話{/}
UI_20150317_000095	{@59}結束{/}
UI_20150317_000096	{@59}邀請{/}
UI_20150317_000097	{@st59}全體{/}
UI_20150317_000098	{@st59}一般  (/s 內容){/}
UI_20150317_000099	{@st59}大喊  (/y 內容){/}
UI_20150317_000100	{@st59}組隊  (/p 內容){/}
UI_20150317_000101	{@st59}密語   (/w 隊伍名稱 內容){/}
UI_20150317_000102	{@st59}調節聊天視窗尺寸{/}
UI_20150317_000103	{@st43}{s22}聊天指令{/}
UI_20150317_000104	{@st43}指令{/}
UI_20150317_000105	{@st59b}指令{nl}{@st59s} - 使用方法：{nl} 1. 將上方的動作圖示登錄在下方的動作欄位上。{nl} 2. 輸入句子後儲存。{nl} 3. 使用該快捷鍵，對話和動作同時出現。{/}
UI_20150317_000106	{@st59}關閉指令。{/}
UI_20150317_000107	{@st41b}儲存{/}
UI_20150317_000108	{@st59}儲存登錄的內容。{/}
UI_20150317_000109	{@st41b}取消{/}
UI_20150317_000110	{@st59}取消登錄的內容。{/}
UI_20150317_000111	{@st42}聊天設定
UI_20150317_000112	{@st42}透明度
UI_20150317_000113	顯示對話框
UI_20150317_000114	畫面上方顯示大喊內容
UI_20150317_000115	{@st43}指令清單{/}
UI_20150317_000116	{@st42b}  道具  {/}
UI_20150317_000117	{@st42b}  怪物  {/}
UI_20150317_000118	{@st42b}  地圖移動  {/}
UI_20150317_000119	{@st42b}  戰鬥命令  {/}
UI_20150317_000120	{@st41b}關閉{/}
UI_20150317_000121	{s16}{b}透過雙點擊或是生成按鍵，可以生出道具。
UI_20150317_000122	{s16}{b}個
UI_20150317_000123	{s16}{b}等級
UI_20150317_000124	{@st41b}檢索{/}
UI_20150317_000125	{s16}{b}透過雙點擊或是生成按鍵，可以召喚怪物。
