ETC_20180327_000001	凱帕	케파				
ETC_20180327_000002	雖然不是那麼強的怪物，但是草率地攻擊，你會流眼淚的。	그리 강한 몬스터는 아니지만 섣불리 공격했다간 눈에서 눈물을 쏟게 될겁니다.				
ETC_20180327_000003	巨大凱帕	대형 케파				
ETC_20180327_000004	偶爾會有打算吃菁英凱帕的人，如果你見到，請阻止他。	가끔 엘리트케파를 먹어보려는 사람들이 있는데, 꼭 말리시길 바랍니다.				
ETC_20180327_000005	赤紅凱帕	붉은 케파				
ETC_20180327_000006	雖然那怪物不怎麼強，但如果貿然攻擊，是會讓人哭哭的。上了年紀會有發紅的傾向。	그리 강한 몬스터는 아니지만 섣불리 공격했다간 눈에서 눈물을 쏟게 될겁니다. 나이가 들면 붉어지는 경향이 있습니다.				
ETC_20180327_000007	被污染的凱帕	오염된 케파				
ETC_20180327_000008	哈明	하밍				
ETC_20180327_000009	相對來說，哈明是好對付的怪物，但是牠的外皮可是很堅硬的。	하밍은 상대적으로 다루기 쉬운 몬스터이지만, 외피는 무척 단단합니다.				
ETC_20180327_000010	奇奈希	치넨시				
ETC_20180327_000011	植物根莖變形後的怪物。	보기와 달리 식물의 줄기가 변형된 몬스터입니다.				
ETC_20180327_000012	變異奇奈希	변이 치넨시				
ETC_20180327_000013	和其他奇奈希一樣具有毒性，但是據說這毒性也具有支配低階奇奈希的效果。	다른 치넨시처럼 독성을 지니고 있습니다. 다만 이 독성은 하급의 치넨시들을 지배하는 효과도 있다고 합니다.				
ETC_20180327_000014	幽格普斯	유코푸스				
ETC_20180327_000015	幽格普斯的內部構造是還沒有被發現的研究領域。	유코푸스의 내부구조는 밝혀지지 않은 연구분야입니다.				
ETC_20180327_000016	藍色幽格普斯	푸른 유코푸스				
ETC_20180327_000017	幽格普斯的內部構造是還沒有被發現的研究領域。不過這種顏色的花能像多年生草一樣活很多年。	유코푸스의 내부구조는 밝혀지지 않은 연구분야입니다. 다만 이 색상은 다년생 풀처럼 여러 해를 삽니다.				
ETC_20180327_000018	灰色幽格普斯	회색 유코푸스				
ETC_20180327_000019	獠牙豬	포쿠본				
ETC_20180327_000020	要注意的事項很多，但是請不要突然往前刺擊。	다른 주의사항도 많지만, 돌진에 찔리지 마십시오.				
ETC_20180327_000021	黃色獠牙豬	노란 포쿠본				
ETC_20180327_000022	要注意的事項很多，但是請不要突然往前刺擊。有袋類或卵生、卵胎生的獠牙豬帶有這種顏色。	다른 주의사항도 많지만, 돌진에 찔리지 마십시오. 유대류나 난생 및 난태생인 포쿠본이 이런 색상을 띱니다.				
ETC_20180327_000023	藍色獠牙豬	푸른 포쿠본				
ETC_20180327_000024	要注意的事項很多，但是請不要突然往前刺擊。此個體扮演協調者的角色，目的是不讓獠牙豬之間產生紛爭，他帶有這種顏色。	다른 주의사항도 많지만, 돌진에 찔리지 마십시오. 포쿠본들 사이에 분쟁이 일어나지 않게 조절하는 개체가 이런 색상을 띱니다.				
ETC_20180327_000025	綠色獠牙豬	초록 포쿠본				
ETC_20180327_000026	這種顏色的獠牙豬壽命比其他獠牙豬長。	이 색상의 포쿠본은 다른 포쿠본보다 수명이 깁니다.				
ETC_20180327_000027	藍色波庫布	푸른 포쿠부				
ETC_20180327_000028	無論外貌如何，波庫布是非常凶暴的野獸。據說這種顏色的野獸型怪物在同種族之間扮演和事佬的角色。	겉모습이 어떻든 포쿠부는 흉폭한 야수입니다. 이런 색상의 야수형 몬스터는 같은 종 사이의 중재역할을 맡는다고 합니다.				
ETC_20180327_000029	報喪女妖	밴시				
ETC_20180327_000030	現在因為各種理由踏入魔界的人們，他們的靈魂變成惡靈出現在世上	여러 이유로 마계에 발들 디딘 사람들의 영혼이 이제 악령이 되어 세상에 나타났습니다				
ETC_20180327_000031	赤紅報喪女妖	붉은 밴시				
ETC_20180327_000032	現在因為各種理由踏入魔界的人們，他們的靈魂變成惡靈出現在世上。赤紅報喪女妖是古老的亡靈，一千年前，魔界發生火山大爆發後便受其影響。	여러 이유로 마계에 발들 디딘 사람들의 영혼이 이제 악령이 되어 세상에 나타났습니다. 붉은 밴시는 천년 전 마계에서 있었던 화산 대폭발의 영향을 받은 오래된 망령입니다.				
