ITEM_20180327_000001	無_helmet	없음_helmet				
ITEM_20180327_000002	角鬥士頭盔	무르밀로 헬멧				
ITEM_20180327_000003	劍鬥士的頭盔沒有損傷只有兩種可能。若不是第一次使用的新頭盔，在經過無數次試驗後依然毫無損傷的話，那必是非常偉大的道具。	검투사의 투구가 흠이 없다는 것은 둘 중 하나입니다. 새 투구를 처음 착용한 것이거나 아니면 수많은 시험을 거쳤음에도 흠이 나지 않는 엄청난 물건이란 뜻입니다.				
ITEM_20180327_000004	瘟疫醫生頭盔	플레이그닥터 헬멧				
ITEM_20180327_000005	很多人認為瘟疫醫生的裝備中一定有滿滿的效果卓越的藥。雖然並沒錯，但滿滿的藥物常被認為是祭司的權能，這也是有才能的治療師與瘟疫醫生重要的差異。	플레이그닥터의 장비 안에는 효능 좋은 약이 들어차 있을 것이라 생각하는 사람이 많습니다. 틀린 생각은 아니지만 그 가득찬 약은 사제의 권능으로 뭉쳐져 있습니다. 이것이 유능한 치유사와 플레이그 닥터의 중요한 차이점입니다.				
ITEM_20180327_000006	心動結婚禮服頭紗	두근두근 웨딩 면사포 코스튬				
ITEM_20180327_000007	頭套[女]	헬멧[여성]				
ITEM_20180327_000008	結婚典禮時新娘所配戴的頭紗。	결혼식 신부가 착용하는 코스튬 입니다.				
ITEM_20180327_000009	魚缸頭盔套裝	어항 헬멧 코스튬				
ITEM_20180327_000010	頭盔[共用]	헬멧[공용]				
ITEM_20180327_000011	可以近距離看水中魚兒的頭盔。	좀 더 물고기를 가까이서 볼 수 있는 어항 코스튬 입니다.				
ITEM_20180327_000012	潛水頭盔套裝	다이빙 헬멧 코스튬				
ITEM_20180327_000013	最適合潛水的套裝。	잠수에 최적화된 코스튬 입니다.				
ITEM_20180327_000014	龍騎士頭盔	드라군 헬멧				
ITEM_20180327_000015	傑克南瓜燈頭盔	잭오랜턴 헬멧				
ITEM_20180327_000016	戴上南瓜燈惡魔不再來。	호박의 속을 파내고 악마의 얼굴 모양으로 눈, 코, 입을 도려낸 투구입니다.				
ITEM_20180327_000017	魯道夫頭盔套裝	루돌프 헬멧 코스튬				
ITEM_20180327_000018	魯道夫的紅鼻子是希望的象徵。	루돌프 빨간코는 희망의 상징입니다.				
ITEM_20180327_000019	無_armband	없음_armband				
ITEM_20180327_000020	赤紅臂環	붉은 암밴드				
ITEM_20180327_000021	臂環	암밴드				
ITEM_20180327_000022	如果背著這個，對於區分我軍會有幫助。	이것을 매고 있으면 아군을 구분하는데 도움을 줍니다.				
ITEM_20180327_000023	結繩臂環	매듭진 암밴드				
ITEM_20180327_000024	如果綁太緊，血有可能不流通。	너무 세게 묶는다면 피가 통하지 않을 수도 있습니다.				
ITEM_20180327_000025	長臂環	긴 암밴드				
ITEM_20180327_000026	長度很長，在危急狀況之下，也可以當作繃帶來使用。	길이가 길어 위급상황에서는 붕대 대용으로도 사용가능합니다.				
ITEM_20180327_000027	羽毛臂環	깃털 장식 암밴드				
ITEM_20180327_000028	裝飾有鳥的羽毛，耐久度不好，需要用心管理。	새의 깃털로 장식되어 있습니다. 내구성이 좋지 못하여 관리에 신경을 써주어야 합니다.				
ITEM_20180327_000029	流蘇臂環	술달린 암밴드				
ITEM_20180327_000030	特別的提議之下使用，但也會為了耍師而裝備。	특별한 제의에 사용되지만 멋을 위해 착용하고 다니기도 합니다.				
ITEM_20180327_000031	太初救援者臂環	태초의 구원자 암밴드				
ITEM_20180327_000032	給予參與第1次CBT的玩家，帶有感謝之意的道具。	1차 CBT에 참여하신 분들께 드리는 감사의 뜻을 담은 물건입니다.				
ITEM_20180327_000033	首領臂環	치프 암밴드				
ITEM_20180327_000034	如果背著這個，對於區分我軍會有幫助，另一方面對敵人來說也將我軍塑造成主要人物。	이것을 매고 있으면 아군을 구분하는데 도움을 줍니다. 한편으로 적에게 주요인물로 부각되기도 합니다. 				
ITEM_20180327_000035	銀色臂環	실버 암밴드				
ITEM_20180327_000036	如果背著這個，對於區分我軍會有幫助，另一方面對敵人來說也將我軍塑造成主要人物，依照情況有時能炫耀，有時也可能招來危機。	이것을 매고 있으면 아군을 구분하는데 도움을 줍니다. 한편으로 적에게 주요인물로 부각되며, 상황에 따라 자랑할 기회가 되거나 위기를 불러올 수도 있습니다.				
ITEM_20180327_000037	鑽石臂環	다이아 암밴드				
ITEM_20180327_000038	如果背著這個，對於區分我軍會有幫助。偶爾在人們面前故意顯露缺點也不錯。	이것을 매고 있으면 아군을 구분하는데 도움을 줍니다. 가끔은 사람들 앞에서 일부러 유리에 흠집을 내는 모습을 보여주어도 좋습니다.				
ITEM_20180327_000039	流蘇臂環	술 장식 암밴드				
ITEM_20180327_000040	如果背著這個，對於區分我軍會有幫助。聽說也有人在流蘇上掛著紀念品，顯現自己的個性。	이것을 매고 있으면 아군을 구분하는데 도움을 줍니다. 술장식에 기념품을 달아 자신만의 개성을 나타내는 사람도 있다고 합니다. 				
ITEM_20180327_000041	薩滿臂環	샤먼 암밴드				
