QUEST_20180327_000001	請選擇要修改任務的玩家。	퀘스트 수정이 필요한 유저를 선택해주세요.				GM
QUEST_20180327_000002	瓦卡麗涅女神像	여신 바카리네의 상				
QUEST_20180327_000003	請選擇地區。	지역을 선택해주세요.				여신 바카리네의 상
QUEST_20180327_000004	選擇	선택				
QUEST_20180327_000005	請選擇道具。	아이템을 선택해주세요.				
QUEST_20180327_000006	神諭師大師	오라클 마스터				
QUEST_20180327_000007	你對什麼事情好奇呢？	어떤 것이 궁금하신가요?				오라클 마스터
QUEST_20180327_000008	要告知您的情報還尚未收集完成。	알려드릴 정보가 모이지 않았습니다.				오라클 마스터
QUEST_20180327_000009	克里斯蒂娜	크리스티나				
QUEST_20180327_000010	請輸入寵物的名字。	컴패니언 이름을 입력해주세요.				크리스티나
QUEST_20180327_000011	圖拉斯	토라스				
QUEST_20180327_000012	幫寵物取名吧。	컴패니언 이름을 정해줘.				토라스
QUEST_20180327_000013	NPC Hide/UnHide 請選擇需要修正的玩家。	NPC Hide/UnHide 수정이 필요한 유저를 선택해주세요.				GM
QUEST_20180327_000014	選擇群組	그룹 선택				
QUEST_20180327_000015	請選擇快速開始群組。	치트 스타트 그룹을 선택하세요.				그룹 선택
QUEST_20180327_000016	選擇地區	존 선택				Basic
QUEST_20180327_000017	請選擇要開始的地區。	시작할 존을 선택하세요.				존 선택
QUEST_20180327_000018	轉職選擇	전직 선택				
QUEST_20180327_000019	請選擇要進行的職業。	원하시는 직업을 선택하세요.				전직 선택
QUEST_20180327_000020	邪靈祭司大師	보코르 마스터				
QUEST_20180327_000021	你想知道這石板是什麼東西嗎？{nl}想知道的話，讓你透過幻影觀看石板製作者的意志。	이 석판이 어떤 물건인지 궁금하시다고요.{nl}원하신다면 이 석판을 만든 자의 의지를 환영으로 보여드리지요.				보코르 마스터
QUEST_20180327_000022	女神拉伊瑪	여신 라이마				
QUEST_20180327_000023	當你看到啟示的時候，應該已經過了很長一段的歲月。{nl}我是命運和預知的女神拉伊瑪。{nl}	당신이 이 계시를 보고 있을 땐 이미 오랜 시간이 흐른 뒤이겠지요.{nl}저는 운명과 예지의 여신 라이마 입니다.{nl}				수정광산의 계시
QUEST_20180327_000024	600年前，我在製作這個啟示的時候，看見了許多悲傷與死亡。{nl}你看到這個啟示代表我所預知的事情成真了。{nl}	600년 전에 이 계시를 만들면서 저는 많은 슬픔과 죽음을 보았습니다.{nl}당신이 이 계시를 보았다는 것은 제가 예지한 모든 일이 현실로 벌어졌겠지요.{nl}				수정광산의 계시
QUEST_20180327_000025	第一次的災難已經因魔族而起，女神們都銷聲匿跡了。{nl}雖然我事前已經知道這一切，並試圖想阻止災難發生，但是我的力量實在是太微弱了。{nl}	이미 첫 번째 재앙은 마족에 의해 일어났고 여신들은 모두 자취를 감추었을 것입니다.{nl}저는 이 모든 것을 미리 알았고, 막으려 노력했지만 제 힘은 너무나도 미약했습니다.{nl}				수정광산의 계시
QUEST_20180327_000026	我為了找到解答，我在漫長的預知夢中徘徊著。{nl}而這個夢的盡頭就是你… 救世者。{nl}	전 해답을 찾기 위해 기나긴 예지의 꿈 속을 거닐었습니다.{nl}그 꿈의 끝은 바로 당신.. 구원자였습니다.{nl}				여신 라이마
QUEST_20180327_000027	但是魔族不可能放過擁有預知能力的我。{nl}所以在你出現之前，我必須要隱藏自己。{nl}	하지만 예지의 힘을 가진 절 마족이 가만 둘 리가 없었기에{nl}당신이 나타날 때 까지 어떻게든 몸을 피해야만 했습니다.{nl}				수정광산의 계시
QUEST_20180327_000028	而且為了保護你.. {nl}只能把你藏在數量龐大的啟示者之中了。 {nl}	그리고 당신을 지키기 위해.. {nl}수 많은 계시자 속에 당신을 숨길 수밖에 없었습니다.{nl}				여신 라이마
QUEST_20180327_000029	我決心將自己分裂並沈浸在數個啟示裡。{nl}我在王國四處流浪製造啟示並將啟示隱藏起來，這項工作持續了近千年。	저는 스스로를 나누어 여러 개의 계시에 깃들기로 결심했습니다.{nl}왕국을 떠돌며 계시를 만들어 감추는 일은 천 년 동안이나 계속되었지요.{nl}				수정광산의 계시
QUEST_20180327_000030	救世者啊！{nl}如果要找回我完整的模樣並阻止魔族的陰謀詭計，{nl}需要找到藏在時間軸裡的所有啟示。	구원자여.{nl}제가 완전한 모습을 되찾고 마족의 흉계를 멈추려면 {nl}모든 시간의 축에 감추어 놓은 계시를 전부 찾아 주셔야 합니다.				여신 라이마
