QUEST_JOBSTEP_20150317_000001	邪靈祭司！你選擇了困難的路。{nl}參考冒險日誌的製作法，製造獨特的人偶吧！	보코르라. 어려운 길을 택하셨군요.{nl}모험일지의 제작법을 참고하여 당신만의 인형을 만들어 오세요.				보코르 마스터
QUEST_JOBSTEP_20150317_000002	如果自己不去求就無法獲得。{nl}人偶的製造法請參考你的冒險日誌。	스스로 구하지 않으면 얻을 수 없습니다.{nl}인형의 제조법은 당신의 모험일지를 참고하세요.				보코르 마스터
QUEST_JOBSTEP_20150317_000003	恭喜，新的邪靈祭司誕生了。{nl}過去我選擇邪靈祭司的路時，也是先從製造自己的人偶開始。{nl}	새로운 보코르의 탄생을 축하합니다.{nl}제가 보코르의 길을 선택했을 땐 나만의 인형을 만드는 것부터 시작했답니다.{nl}				
QUEST_JOBSTEP_20150317_000004	輕裝步兵大師	펠타스타 마스터				
QUEST_JOBSTEP_20150317_000005	你如果真的要接受我的教導，必須要證明你是否有資格。{nl}給你一項任務。請消滅佔領水晶礦山1層的布貝們。{nl}{nl}	그대가 정녕 제게 가르침을 받고 싶다면 그 자격이 있는지 증명해야 할 것입니다.{nl}과제를 드리지요. 수정광산 1층을 점령하고 있는 부베들을 처치하십시오.{nl}{nl}				
QUEST_JOBSTEP_20150317_000006	這點程度都做不到，怎麼肩負輕裝步兵之名呢？	그 정도도 해내지 못하고서야 어찌 펠타스타의 이름을 짊어진단 말입니까?				펠타스타 마스터
QUEST_JOBSTEP_20150317_000007	很好。{nl}希望你的成長能夠守護世界。	좋습니다.{nl}그대의 성장이 세상을 지키는 일이 되길 바라겠습니다.				펠타스타 마스터
QUEST_JOBSTEP_20150317_000008	高地戰士大師	하이랜더 마스터				
QUEST_JOBSTEP_20150317_000009	我真的很感謝你願意繼承我的劍法，但我懷疑你是否能順利跟上。{nl}我想讓你去對付占領水晶礦山1層的布貝藉此考驗你。	그대가 나의 검법을 계승하겠다는 건 참으로 고마운 일이나 제대로 따라올 수 있을지 의문이 드는군.{nl}수정광산 1층을 점거하고 있는 부베들을 처치하는 것으로 그대를 시험해 보겠다.				
QUEST_JOBSTEP_20150317_000010	動作快。{nl}雖然是入門任務，但那些布貝對礦山村莊造成威脅是事實。	서둘러라.{nl}비록 입문 과제이지만 그 부베들이 광산 마을의 위협이 되는 건 사실이니까.				하이랜더 마스터
QUEST_JOBSTEP_20150317_000011	結果很好。我允許你加入高地戰士。{nl}今後也要努力修練。	결과가 좋군. 그대의 하이랜더 입문을 허락하겠다.{nl}앞으로도 열심히 정진하도록.				하이랜더 마스터
QUEST_JOBSTEP_20150317_000012	烈焰法師大師	파이로맨서 마스터				
QUEST_JOBSTEP_20150317_000013	你想要跟我學習魔法的那份熱情我懂，但是我是不會隨便教人的。{nl}我要視你能輔助我的研究到什麼程度來決定。	저에게 마법을 배우겠다는 열의는 알겠습니다만, 아무에게나 가르쳐 드릴 순 없습니다.{nl}제 연구를 얼마나 잘 보조해 주시는지에 따라서 결정하겠어요.				
QUEST_JOBSTEP_20150317_000014	辛苦了。託你的福我能進入下一個研究階段了。{nl}我會依約定教你烈焰法師的魔法。	수고하셨어요. 덕분에 다음 연구단계로 넘어갈 수 있겠네요.{nl}약속대로 파이로맨서의 마법을 가르쳐 드리지요.				
QUEST_JOBSTEP_20150317_000015	你來得正好。你該為我做的就是消滅我召喚出來的惡靈。{nl}我會記錄過程中釋出的特殊波長。	잘 오셨어요. 당신이 해 주실 일은 제가 소환한 악령을 처치해 주시면 됩니다.{nl}그 과정에서 뿜어져 나오는 특별한 파장을 기록하겠어요.				
QUEST_JOBSTEP_20150317_000016	我正在研究物質的第4種狀態。{nl}如果沒有能控制靈魂的邪靈祭司大師的協助，我是絕對辦不到的。	전 물질의 제4번째 상태에 대해 연구중입니다.{nl}영혼을 다루는 보코르 마스터님의 협조가 없으면 절대로 불가능한 일이지요.				
QUEST_JOBSTEP_20150317_000017	很好，非常厲害。{nl}請告訴烈焰法師大師你已經收集到所有需要的資料了。	네. 아주 훌륭하군요.{nl}파이로맨서 마스터께 필요한 자료는 전부 모였다고 전해 드리세요.				보코르 마스터
QUEST_JOBSTEP_20150317_000018	很好。{nl}我正在和邪靈祭司大師一起進行那項研究，請你過去找他，他會把該做的事告訴你。	좋습니다. {nl}그 연구는 보코르 마스터님과 함께 진행중이니 그분께 가면 할 일을 일러주실 겁니다.				
QUEST_JOBSTEP_20150317_000019	寒冰法師大師	크리오맨서 마스터				
QUEST_JOBSTEP_20150317_000020	想跟我學魔法嗎？{nl}我當然會教你。但你必須幫我處理一件事。	제게 크리오맨서의 마법을 배우고 싶으시다고요.{nl}물론 가르쳐 드리지요. 한 가지 일만 잘 처리해 주신다면요.				
QUEST_JOBSTEP_20150317_000021	烈焰法師大師目前不在。{nl}唉，這件事非常簡單。	파이로맨서 마스터는 현재 부재중이십니다.{nl}뭐, 아주 쉬운 일입니다.				크리오맨서 마스터
QUEST_JOBSTEP_20150317_000022	請別內疚。您做得非常好。{nl}從現在起我會助您一臂之力，您不必太過擔心。	죄책감 따윈 신경 쓰지 마세요. 아주 잘해주셨습니다.{nl}이제부턴 제가 당신의 뒤를 봐 드릴 테니 너무 걱정하지 않으셔도 됩니다.				크리오맨서 마스터
QUEST_JOBSTEP_20150317_000023	請偷偷潛入烈焰法師的房中，把裝在房中箱子裡的東西帶來給我。{nl}此外的東西請你自己看著辦。	파이로맨서의 방에 몰래 잠입해 그곳에 있는 상자를 여는 것입니다.{nl}그 안에 있는 것은.. 죽여버리는 게 좋겠네요.				
QUEST_JOBSTEP_20150317_000024	這種程度的話，已足夠了。{nl}我的魔法會比你想像中的難，所以你要努力跟著我學習喔。	이 정도면 충분하군.{nl}내 마법은 어려우니까 열심히 따라와야 할 거야.				
QUEST_JOBSTEP_20150317_000025	想向我學習的決心是很好，但必須替我做一件事。{nl}必須接受才能繼續談下去。{nl}	내게 뭘 배우겠다는 마음가짐은 좋다만 대신 한 가지 부탁이 있네.{nl}들어주겠다고 해야만 이야기를 계속할 수 있어.{nl}				쿼렐슈터 마스터
QUEST_JOBSTEP_20150317_000026	竟然是利迪亞夏班的物品，那對我們弓箭手來說就像聖物一樣。{nl}如果可以，就算賣掉所有的財產也想要擁有它。	리디아 샤펜의 물건이라니, 우리 궁수들에겐 성물 같은 존재라고.{nl}할 수만 있다면 전 재산을 팔아서라도 갖고 싶군.				쿼렐슈터 마스터
QUEST_JOBSTEP_20150317_000027	沒想到我能親眼看到它。{nl}謝謝你。現在起我會徹底指導你，你要做好覺悟。	이걸 직접 내 눈으로 보게 될 줄이야.{nl}고맙네. 이제부턴 철저히 지도해 줄 테니 각오 하는 게 좋을 거야.				쿼렐슈터 마스터
QUEST_JOBSTEP_20150317_000028	聽說從星之塔中消失的望遠鏡的鏡片就在水晶礦山1層。{nl}如果你能在其他大師發現之前盡快把它帶來給我，我就把我的技術教給你。	별의 탑에서 사라진 망원경의 렌즈가 수정광산 1층에 있다더군.{nl}다른 마스터들이 눈치채기 전에 빨리 그 렌즈를 가져다주면 내 기술을 가르쳐 주겠네.				쿼렐슈터 마스터
