QUEST_LV_0100_20180327_000001	警戒兵	경계병				
QUEST_LV_0100_20180327_000002	若想前往柯拉佩達，最好是經由往陰影森林街道走。{nl}森林深處很危險，最好別太過深入。	클라페다로 가려면 곧장 그늘 숲 가도로 가는 게 좋습니다.{nl}숲의 깊은 곳은 위험하니 왠만하면 자제하시고요.				경계병
QUEST_LV_0100_20180327_000003	藏匿中的男子	숨어있는 남자				
QUEST_LV_0100_20180327_000004	終.…終於！ 搜救隊來了嗎？{nl}搞什麼！ 只有一個小毛頭啊？ 喂，布貝還在外面嗎？	드.. 드디어! 구조대가 온 건가?{nl}뭐야! 애송이 혼자잖아? 이봐. 밖에 아직도 부베가 있나?				숨어있는 남자
QUEST_LV_0100_20180327_000005	呃呃.…走開！ 別找我說話！ 會被布貝發現啦！{nl}這裡是我的地盤，你快滾！	으윽.. 저리 가! 말 걸지 마! 부베한테 들킨단 말이야!{nl}여긴 내 자리니까 썩 꺼져!				숨어있는 남자
QUEST_LV_0100_20180327_000006	什麼？ 別說謊！ 布貝的臭味還是很刺鼻。什麼！{nl}不可以耍大人！ 走開！ 別靠近這木桶的附近！	뭐? 거짓말하지 마! 부베놈들 악취가 아직도 코를 찌르는구먼. 무슨!!{nl}어른을 놀리면 못써! 저리 가! 이 나무통 근처로 얼씬도 하지 마!				숨어있는 남자
QUEST_LV_0100_20180327_000007	終.…終於！ 搜救隊來了嗎？{nl}搞什麼！ 只有一個小毛頭啊？ 看什麼？ 蓋上蓋子就給我滾！{nl}	드.. 드디어! 구조대가 온 건가?{nl}뭐야! 애송이 혼자잖아? 뭘 봐? 그냥 뚜껑 닫고 갈 길 가버려!{nl}				숨어있는 남자
QUEST_LV_0100_20180327_000008	可是你手中的那張紙.…筆跡怎麼這麼眼熟啊? {nl}讓我瞧瞧！ 你幹什麼？ 大人開口了還不快交出來！	그런데 네가 들고 있는 그 종이.. 글귀가 어째 낯이 익은데? {nl}이리 줘봐! 뭐해? 어른이 말씀하시는데 냉큼 내놓지 않고!				숨어있는 남자
QUEST_LV_0100_20180327_000009	這！ 這不是我的嗎？！ 不能再給你了！ {nl}你絕對不需要它，我要全部撕掉！	이건!! 내 것이잖아?! 다시 못 줘!! {nl}너한텐 절대로 필요 없는 거니까, 다 찢어버릴 거야!!				숨어있는 남자
QUEST_LV_0100_20180327_000010	呿，鬼扯什麼…	쳇, 싱겁긴..				숨어있는 남자
QUEST_LV_0100_20180327_000011	雷堤夏	레티샤				
QUEST_LV_0100_20180327_000012	你好！我是負責 TP商店的雷堤夏。{nl}TP商店販賣各種對啟示者的冒險有幫助的道具。{nl}	안녕하세요! TP샵을 맡고있는 레티샤 입니다.{nl}TP샵에는 계시자님의 모험을 도와드릴 많은 아이템을 팔고 있어요.{nl}				레티샤
QUEST_LV_0100_20180327_000013	TP商店與其他商店不同	TP샵은 다른 상점과는 다르게 				레티샤
QUEST_LV_0100_20180327_000014	可使用TP購買道具。{nl}TP可以在TP商店充值，我們正免費為您每兩小時儲值 1TP，最多會為您儲值5TP。{nl}	로 아이템을 구입하실 수 있습니다.{nl}TP는 TP샵에서 충전하실 수 있고, 무료로 2시간에 1TP씩 최대 5TP까지 충전해드리고 있어요.{nl}				레티샤
QUEST_LV_0100_20180327_000015	無法戰鬥時可以在原地復活的	전투 불능 시 제자리 부활이 가능한 				레티샤
QUEST_LV_0100_20180327_000016	靈魂水晶	소울 크리스탈				
QUEST_LV_0100_20180327_000017	,{nl}為頭髮套裝賦予能力值的	,{nl}헤어 코스튬에 능력치를 붙여주는 				레티샤
QUEST_LV_0100_20180327_000018	魔法賦予卷軸	마법 부여 스크롤				
QUEST_LV_0100_20180327_000019	 此類的消耗品及{nl}將衣裳妝點時髦的各種	 같은 소모품과{nl}의상을 멋지게 꾸미는 각종 				레티샤
QUEST_LV_0100_20180327_000020	套裝	코스튬				
QUEST_LV_0100_20180327_000021	{nl}以及幫助你快速移動的可愛的	{nl}그리고 빠른 이동을 도와주는 귀여운 				레티샤
QUEST_LV_0100_20180327_000022	寵物	컴패니언				
QUEST_LV_0100_20180327_000023	 等，為您準備了各式各樣的商品。{nl}	 까지 다양한 상품이 준비되어있어요.{nl}				레티샤
QUEST_LV_0100_20180327_000024	購買方法是將想要的道具	구매 방법은 원하시는 아이템을 				레티샤
QUEST_LV_0100_20180327_000025	裝填	담기				레티샤
QUEST_LV_0100_20180327_000026	 點擊按鈕選擇	 버튼으로 선택하시고 				레티샤
QUEST_LV_0100_20180327_000027	購買確定	구매 확정				
QUEST_LV_0100_20180327_000028	 點擊按鈕即可購買。{nl}	 버튼으로 구매하실 수 있어요.{nl}				레티샤
