QUEST_UNUSED_20180327_000001	委託石	의뢰석				
QUEST_UNUSED_20180327_000002	我們魔法協會為了研究各地區的怪物，而在收集怪物的標本。{nl}希望你可以多參與。	저희 마법협회에서는 각 지역의 몬스터를 연구하기 위해 몬스터의 표본을 수집하고 있습니다.{nl}많은 참여 부탁드립니다.				의뢰석
QUEST_UNUSED_20180327_000003	收集回來的材料魔法協會將會珍惜地研究。{nl}非常謝謝你的協助。	모아 주신 표본은 마법 협회에서 소중히 연구하도록 하겠습니다.{nl}협조해 주셔서 감사합니다.				의뢰석
QUEST_UNUSED_20180327_000004	刻在岩石上的字樣	바위에 새겨진 문구				
QUEST_UNUSED_20180327_000005	請別觸碰或推動岩石。	건드리거나 밀지 마시오.				바위에 새겨진 문구
QUEST_UNUSED_20180327_000006	也許會有危險所以麻煩你幫我消滅周圍的怪物。{nl}我看過洛圖瑪第1遺址的怪物變得非常殘暴。	그래도 혹시 모르니 이 주변의 몬스터 퇴치를 부탁드리겠습니다.{nl}로도마 제1 유적지의 몬스터가 난폭하게 변했다는 보고도 있었거든요.				용병 글렌
QUEST_UNUSED_20180327_000007	真厲害。{nl}看來我能暫時安心了。	훌륭하십니다.{nl}당분간은 안심할 수 있겠지요.				용병 글렌
QUEST_UNUSED_20180327_000008	請留意地面。{nl}可能掉下去了。	땅바닥을 유심히 잘 봐주세요. {nl}혹시나 떨어져 있을지도 몰라요.				신입 왕릉 연구원
QUEST_UNUSED_20180327_000009	嗯，只有這個嗎？{nl}你幫忙找到這些我就很感謝了。{nl}我再從頭抄寫就行了。	흠, 이것 뿐이던가요?{nl}이만큼 찾아주신 것도 감사해요.{nl}처음부터 다시 베껴쓰면 되니까요.				신입 왕릉 연구원
QUEST_UNUSED_20180327_000010	好像快想起什麼了。{nl}可是我覺得越去想記憶就越模糊。	뭔가 생각이 날 것 같기도 한데요.{nl}생각하려 할 수록 흐려지는 느낌이에요.				용병 글렌
QUEST_UNUSED_20180327_000011	請問是夢見女神的啟示者嗎？{nl}我是夏奧雷伊和柯拉佩達的騎士團長烏斯卡。{nl}	여신의 꿈을 꾼 계시자이십니까.{nl}저는 샤울레이와 클라페다를 담당하고 있는 기사단장, 우스카입니다.{nl}				기사단장 우스카
QUEST_UNUSED_20180327_000012	現在王國已失去所有希望。{nl}連重新振作的意志都很低落…只是空喊著女神的名字。{nl}	지금의 왕국은 모든 희망을 잃었습니다. {nl}다시 일어설 의지조차 꺾인 채로.. 여신의 이름만 부르짖고 있습니다.{nl}				기사단장 우스카
QUEST_UNUSED_20180327_000013	坦白說我在各位啟示者身上看不到任何希望…{nl}背負著一整個城市的包袱… {nl}	솔직히 저는 계시자 여러분들을 희망적으로만 바라볼 수는 없습니다.{nl}한 도시를 짊어지고 있는 책임자이기에.. {nl}				기사단장 우스카
QUEST_UNUSED_20180327_000014	不是無法再經歷絕望嗎？	다시 절망을 겪을 순 없는 것 아니겠습니까.				기사단장 우스카
QUEST_UNUSED_20180327_000015	嗯…不管怎樣，主教也夢見了啟示的夢。{nl}主教說如果啟示者到來的話，就送他前往水晶礦山。{nl}	자.. 어쨌든, 주교님께서도 계시의 꿈을 꾸셨습니다.{nl}계시자가 오거든 수정광산으로 보내라고 하셨다는군요.{nl}				기사단장 우스카
QUEST_UNUSED_20180327_000016	您準備好前往水晶礦山時請再告訴我一聲。{nl}我會告訴您水晶礦山的位置以及進入的方法。	수정광산으로 갈 준비가 다 되면 저에게 다시 말씀해 주십시오.{nl}수정광산의 위치와 들어갈 방법을 알려드리겠습니다.				기사단장 우스카
QUEST_UNUSED_20180327_000017	主教要我送啟示者們到水晶礦山，{nl}並說女神在夢中要他這麼做。{nl}	주교님께선 계시자들을 수정광산으로 보내라고 하셨습니다.{nl}여신께서 그리 하라고 꿈에서 말씀하셨다는군요.{nl}				기사단장 우스카
QUEST_UNUSED_20180327_000018	不過現在礦山村正處於布貝族交戰中，是禁止出入的。{nl}請去見見東部森林的騎士阿拉斯是負責人吧。	하지만 현재 광산 마을은 부베와 교전중인지라 출입을 제한하고 있습니다.{nl}동쪽 숲에 있는 기사 아라스가 담당이니 그를 만나보십시오.				기사단장 우스카
